ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2022-02-22 20:40:00 217m





Relative time;HS3-100(17654).Ch1;HS3-100(17654).Ch2
s;V;V
3.91805;0.01953125;0.73164064
3.9181;0.03515625;0.68007814
3.91815;0.025390625;0.64765626
3.9182;0.029296875;0.67812501
3.91825;0.0234375;0.73007814
3.9183;0.025390625;0.70039064
3.91835;0.03125;0.66015626
3.9184;0.025390625;0.66210938
3.91845;0.029296875;0.70585939
3.9185;0.01953125;0.72812501
3.91855;0.0234375;0.70507814
3.9186;0.021484375;0.66601563
3.91865;0.0234375;0.65625001
3.9187;0.021484375;0.68632814
3.91875;0.029296875;0.71875001
3.9188;0.025390625;0.72304689
3.91885;0.01953125;0.70000001
3.9189;0.025390625;0.65976563
3.91895;0.017578125;0.66757813
3.919;0.025390625;0.67343751
3.91905;0.021484375;0.69335939
3.9191;0.0234375;0.73359376
3.91915;0.025390625;0.73007814
3.9192;0.0234375;0.67812501
3.91925;0.013671875;0.65898438
3.9193;0.029296875;0.66523438
3.91935;0.0234375;0.68007814
3.9194;0.015625;0.67382814
3.91945;0.021484375;0.69296876
3.9195;0.017578125;0.73671876
3.91955;0.02734375;0.72343751
3.9196;0.0234375;0.67460939
3.91965;0.01953125;0.66250001
3.9197;0.021484375;0.67226564
3.91975;0.025390625;0.67304689
3.9198;0.021484375;0.68671876
3.91985;0.021484375;0.75312501
3.9199;0.0234375;0.73164064
3.91995;0.0234375;0.66757813
3.92;0.01953125;0.65390626
3.92005;0.02734375;0.67421876
3.9201;0.029296875;0.68281251
3.92015;0.02734375;0.66132813
3.9202;0.021484375;0.68515626
3.92025;0.029296875;0.74687501
3.9203;0.0234375;0.73632814
3.92035;0.029296875;0.67812501
3.9204;0.013671875;0.65429688
3.92045;0.01953125;0.66992188
3.9205;0.025390625;0.68359376
3.92055;0.021484375;0.67578126
3.9206;0.017578125;0.69687501
3.92065;0.01953125;0.74843751
3.9207;0.01953125;0.71406251
3.92075;0.02734375;0.66992188
3.9208;0.025390625;0.67773439
3.92085;0.017578125;0.69414064
3.9209;0.021484375;0.68164064
3.92095;0.02734375;0.65585938
3.921;0.015625;0.67578126
3.92105;0.021484375;0.71601564
3.9211;0.01953125;0.72500001
3.92115;0.03125;0.68554689
3.9212;0.0234375;0.66328126
3.92125;0.01953125;0.67148439
3.9213;0.017578125;0.66601563
3.92135;0.021484375;0.69218751
3.9214;0.025390625;0.74023439
3.92145;0.025390625;0.74023439
3.9215;0.0234375;0.69023439
3.92155;0.021484375;0.64492188
3.9216;0.021484375;0.66875001
3.92165;0.0234375;0.68984376
3.9217;0.03125;0.67578126
3.92175;0.02734375;0.66093751
3.9218;0.025390625;0.70507814
3.92185;0.021484375;0.74843751
3.9219;0.02734375;0.70976564
3.92195;0.021484375;0.68007814
3.922;0.02734375;0.68867189
3.92205;0.029296875;0.68046876
3.9221;0.017578125;0.66914063
3.92215;0.029296875;0.65273438
3.9222;0.01953125;0.69414064
3.92225;0.02734375;0.74296876
3.9223;0.0234375;0.72109376
3.92235;0.025390625;0.68398439
3.9224;0.0234375;0.67070313
3.92245;0.025390625;0.66796876
3.9225;0.015625;0.66132813
3.92255;0.021484375;0.68984376
3.9226;0.01953125;0.72382814
3.92265;0.029296875;0.72109376
3.9227;0.017578125;0.68828126
3.92275;0.029296875;0.64765626
3.9228;0.021484375;0.67304689
3.92285;0.021484375;0.71210939
3.9229;0.021484375;0.70429689
3.92295;0.021484375;0.66835938
3.923;0.02734375;0.66992188
3.92305;0.015625;0.70976564
3.9231;0.021484375;0.72421876
3.92315;0.02734375;0.68984376
3.9232;0.025390625;0.66835938
3.92325;0.01953125;0.67226564
3.9233;0.025390625;0.69960939
3.92335;0.01953125;0.70273439
3.9234;0.025390625;0.68750001
3.92345;0.013671875;0.66289063
3.9235;0.01953125;0.68750001
3.92355;0.025390625;0.72265626
3.9236;0.02734375;0.72070314
3.92365;0.021484375;0.68398439
3.9237;0.017578125;0.65742188
3.92375;0.02734375;0.67304689
3.9238;0.025390625;0.70078126
3.92385;0.0234375;0.69414064
3.9239;0.02734375;0.67304689
3.92395;0.021484375;0.67617189
3.924;0.021484375;0.72656251
3.92405;0.025390625;0.74062501
3.9241;0.021484375;0.71757814
3.92415;0.029296875;0.68046876
3.9242;0.025390625;0.67382814
3.92425;0.017578125;0.66796876
3.9243;0.01953125;0.65585938
3.92435;0.021484375;0.65390626
3.9244;0.021484375;0.69140626
3.92445;0.01953125;0.74648439
3.9245;0.029296875;0.71914064
3.92455;0.021484375;0.68789064
3.9246;0.02734375;0.67773439
3.92465;0.029296875;0.68828126
3.9247;0.01953125;0.67929689
3.92475;0.021484375;0.65859376
3.9248;0.0234375;0.67460939
3.92485;0.025390625;0.73359376
3.9249;0.0234375;0.72890626
3.92495;0.021484375;0.69609376
3.925;0.02734375;0.66679688
3.92505;0.02734375;0.66445313
3.9251;0.02734375;0.67187501
3.92515;0.021484375;0.69023439
3.9252;0.029296875;0.73242189
3.92525;0.025390625;0.71406251
3.9253;0.0234375;0.66992188
3.92535;0.0234375;0.65195313
3.9254;0.02734375;0.68750001
3.92545;0.0234375;0.72539064
3.9255;0.02734375;0.71640626
3.92555;0.02734375;0.67382814
3.9256;0.02734375;0.66796876
3.92565;0.017578125;0.66562501
3.9257;0.0234375;0.69648439
3.92575;0.01953125;0.73515626
3.9258;0.017578125;0.71718751
3.92585;0.025390625;0.67070313
3.9259;0.0234375;0.66679688
3.92595;0.0234375;0.67500001
3.926;0.0234375;0.69296876
3.92605;0.0234375;0.72890626
3.9261;0.0234375;0.70781251
3.92615;0.021484375;0.66132813
3.9262;0.0234375;0.65585938
3.92625;0.0234375;0.67539064
3.9263;0.01953125;0.72382814
3.92635;0.02734375;0.72265626
3.9264;0.01953125;0.67460939
3.92645;0.03125;0.66093751
3.9265;0.021484375;0.68867189
3.92655;0.015625;0.71523439
3.9266;0.02734375;0.72773439
3.92665;0.021484375;0.66640626
3.9267;0.0234375;0.63906251
3.92675;0.0234375;0.66992188
3.9268;0.025390625;0.71093751
3.92685;0.02734375;0.71328126
3.9269;0.0234375;0.69843751
3.92695;0.017578125;0.65742188
3.927;0.025390625;0.66562501
3.92705;0.015625;0.69687501
3.9271;0.025390625;0.72382814
3.92715;0.01953125;0.71640626
3.9272;0.021484375;0.68828126
3.92725;0.021484375;0.66718751
3.9273;0.021484375;0.65390626
3.92735;0.02734375;0.68867189
3.9274;0.025390625;0.72695314
3.92745;0.01953125;0.72421876
3.9275;0.02734375;0.66914063
3.92755;0.029296875;0.65039063
3.9276;0.017578125;0.69218751
3.92765;0.021484375;0.73242189
3.9277;0.02734375;0.70234376
3.92775;0.025390625;0.67695314
3.9278;0.0234375;0.65390626
3.92785;0.025390625;0.68203126
3.9279;0.01953125;0.73359376
3.92795;0.025390625;0.73320314
3.928;0.0234375;0.67578126
3.92805;0.021484375;0.65195313
3.9281;0.01953125;0.67812501
3.92815;0.021484375;0.72109376
3.9282;0.0234375;0.72500001
3.92825;0.01953125;0.68320314
3.9283;0.02734375;0.63710938
3.92835;0.01953125;0.66250001
3.9284;0.01953125;0.69687501
3.92845;0.021484375;0.72265626
3.9285;0.01953125;0.71757814
3.92855;0.01953125;0.68398439
3.9286;0.029296875;0.65507813
3.92865;0.021484375;0.67187501
3.9287;0.01953125;0.69453126
3.92875;0.021484375;0.72656251
3.9288;0.021484375;0.70117189
3.92885;0.02734375;0.67304689
3.9289;0.0234375;0.66953126
3.92895;0.025390625;0.69648439
3.929;0.017578125;0.72968751
3.92905;0.021484375;0.70976564
3.9291;0.03125;0.66210938
3.92915;0.021484375;0.65781251
3.9292;0.025390625;0.68359376
3.92925;0.017578125;0.71601564
3.9293;0.021484375;0.70273439
3.92935;0.02734375;0.66367188
3.9294;0.01953125;0.66406251
3.92945;0.02734375;0.68906251
3.9295;0.0234375;0.73554689
3.92955;0.025390625;0.71328126
3.9296;0.01953125;0.68046876
3.92965;0.025390625;0.65859376
3.9297;0.01953125;0.69414064
3.92975;0.03125;0.70859376
3.9298;0.037109375;0.68867189
3.92985;0.01953125;0.66171876
3.9299;0.0234375;0.67070313
3.92995;0.029296875;0.71093751
3.93;0.02734375;0.73125001
3.93005;0.021484375;0.68476564
3.9301;0.015625;0.66171876
3.93015;0.01953125;0.65898438
3.9302;0.02734375;0.69648439
3.93025;0.013671875;0.72460939
3.9303;0.025390625;0.71328126
3.93035;0.01953125;0.66093751
3.9304;0.02734375;0.66054688
3.93045;0.015625;0.67226564
3.9305;0.021484375;0.70507814
3.93055;0.025390625;0.73867189
3.9306;0.0234375;0.69882814
3.93065;0.021484375;0.65703126
3.9307;0.01953125;0.65000001
3.93075;0.01953125;0.69140626
3.9308;0.01953125;0.71953126
3.93085;0.0234375;0.71601564
3.9309;0.025390625;0.68515626
3.93095;0.0234375;0.65585938
3.931;0.01953125;0.67226564
3.93105;0.025390625;0.70898439
3.9311;0.017578125;0.74062501
3.93115;0.03125;0.70000001
3.9312;0.025390625;0.65703126
3.93125;0.025390625;0.66562501
3.9313;0.0234375;0.68710939
3.93135;0.03125;0.71835939
3.9314;0.021484375;0.69726564
3.93145;0.02734375;0.65312501
3.9315;0.0234375;0.67460939
3.93155;0.02734375;0.71757814
3.9316;0.015625;0.73671876
3.93165;0.029296875;0.70039064
3.9317;0.0234375;0.65468751
3.93175;0.021484375;0.67226564
3.9318;0.025390625;0.70976564
3.93185;0.025390625;0.69414064
3.9319;0.025390625;0.67109376
3.93195;0.025390625;0.67617189
3.932;0.0234375;0.70117189
3.93205;0.025390625;0.71757814
3.9321;0.01953125;0.69296876
3.93215;0.0234375;0.65664063
3.9322;0.02734375;0.66132813
3.93225;0.025390625;0.70273439
3.9323;0.02734375;0.72695314
3.93235;0.025390625;0.69296876
3.9324;0.0234375;0.66445313
3.93245;0.0234375;0.65703126
3.9325;0.0234375;0.69648439
3.93255;0.021484375;0.73437501
3.9326;0.021484375;0.72812501
3.93265;0.0234375;0.68203126
3.9327;0.01953125;0.65781251
3.93275;0.025390625;0.65664063
3.9328;0.03515625;0.67460939
3.93285;0.015625;0.72617189
3.9329;0.0234375;0.72773439
3.93295;0.0390625;0.69257814
3.933;0.013671875;0.64414063
3.93305;0.025390625;0.65898438
3.9331;0.0234375;0.72734376
3.93315;0.0234375;0.75585939
3.9332;0.01953125;0.69414064
3.93325;0.01953125;0.65429688
3.9333;0.029296875;0.66718751
3.93335;0.029296875;0.68632814
3.9334;0.021484375;0.70351564
3.93345;0.0234375;0.73046876
3.9335;0.02734375;0.68906251
3.93355;0.01953125;0.65039063
3.9336;0.021484375;0.65976563
3.93365;0.0234375;0.70468751
3.9337;0.025390625;0.74062501
3.93375;0.0234375;0.69257814
3.9338;0.025390625;0.66054688
3.93385;0.021484375;0.66562501
3.9339;0.0234375;0.69218751
3.93395;0.02734375;0.72382814
3.934;0.021484375;0.70859376
3.93405;0.025390625;0.66718751
3.9341;0.033203125;0.65781251
3.93415;0.01953125;0.69648439
3.9342;0.01953125;0.73085939
3.93425;0.025390625;0.70429689
3.9343;0.02734375;0.66406251
3.93435;0.017578125;0.64531251
3.9344;0.021484375;0.67031251
3.93445;0.01953125;0.71367189
3.9345;0.0234375;0.73554689
3.93455;0.033203125;0.70546876
3.9346;0.025390625;0.66679688
3.93465;0.0234375;0.65429688
3.9347;0.021484375;0.68632814
3.93475;0.017578125;0.72578126
3.9348;0.02734375;0.71093751
3.93485;0.0234375;0.69062501
3.9349;0.02734375;0.66054688
3.93495;0.017578125;0.67421876
3.935;0.015625;0.69609376
3.93505;0.029296875;0.71132814
3.9351;0.01953125;0.68359376
3.93515;0.025390625;0.66992188
3.9352;0.021484375;0.67734376
3.93525;0.0234375;0.71953126
3.9353;0.02734375;0.73984376
3.93535;0.021484375;0.67890626
3.9354;0.025390625;0.64648438
3.93545;0.021484375;0.66875001
3.9355;0.029296875;0.70859376
3.93555;0.017578125;0.72968751
3.9356;0.0234375;0.70546876
3.93565;0.025390625;0.67968751
3.9357;0.015625;0.67851564
3.93575;0.033203125;0.66210938
3.9358;0.017578125;0.66171876
3.93585;0.0234375;0.69414064
3.9359;0.017578125;0.74062501
3.93595;0.0234375;0.71796876
3.936;0.02734375;0.67070313
3.93605;0.013671875;0.65625001
3.9361;0.0234375;0.67226564
3.93615;0.017578125;0.69648439
3.9362;0.02734375;0.71953126
3.93625;0.02734375;0.71250001
3.9363;0.017578125;0.68164064
3.93635;0.0234375;0.64882813
3.9364;0.021484375;0.67070313
3.93645;0.0234375;0.71054689
3.9365;0.01953125;0.72812501
3.93655;0.02734375;0.69960939
3.9366;0.02734375;0.66054688
3.93665;0.021484375;0.68867189
3.9367;0.021484375;0.69140626
3.93675;0.025390625;0.68046876
3.9368;0.017578125;0.67617189
3.93685;0.021484375;0.68242189
3.9369;0.025390625;0.70859376
3.93695;0.021484375;0.73593751
3.937;0.03125;0.68710939
