Aux out [V]	Aux in [V]	Aux out [V]	PDH out [a.u.]
-3.2882E-1	3.8403E-1	-3.2882E-1	1.1280E+3
-3.2882E-1	3.8354E-1	-3.2882E-1	6.0900E+2
-3.2869E-1	3.8184E-1	-3.2869E-1	8.9500E+2
-3.2857E-1	3.7988E-1	-3.2857E-1	4.4000E+2
-3.2845E-1	3.8013E-1	-3.2845E-1	1.7650E+3
-3.2833E-1	3.7866E-1	-3.2833E-1	4.4000E+2
-3.2821E-1	3.8062E-1	-3.2821E-1	7.8900E+2
-3.2808E-1	3.8062E-1	-3.2808E-1	1.2830E+3
-3.2796E-1	3.7915E-1	-3.2796E-1	4.7800E+2
-3.2796E-1	3.7793E-1	-3.2796E-1	9.0600E+2
-3.2784E-1	3.7817E-1	-3.2784E-1	1.2910E+3
-3.2772E-1	3.7671E-1	-3.2772E-1	1.0700E+3
-3.2760E-1	3.7427E-1	-3.2760E-1	9.0400E+2
-3.2747E-1	3.7524E-1	-3.2747E-1	5.4900E+2
-3.2735E-1	3.7354E-1	-3.2735E-1	7.6200E+2
-3.2723E-1	3.7329E-1	-3.2723E-1	9.2100E+2
-3.2723E-1	3.7305E-1	-3.2723E-1	1.1060E+3
-3.2711E-1	3.7402E-1	-3.2711E-1	1.3040E+3
-3.2699E-1	3.7207E-1	-3.2699E-1	1.4980E+3
-3.2686E-1	3.7158E-1	-3.2686E-1	4.9100E+2
-3.2674E-1	3.6963E-1	-3.2674E-1	1.7270E+3
-3.2662E-1	3.6865E-1	-3.2662E-1	8.1700E+2
-3.2650E-1	3.6865E-1	-3.2650E-1	1.1760E+3
-3.2637E-1	3.6694E-1	-3.2637E-1	1.0110E+3
-3.2637E-1	3.6597E-1	-3.2637E-1	9.2200E+2
-3.2625E-1	3.6621E-1	-3.2625E-1	1.1300E+3
-3.2613E-1	3.6401E-1	-3.2613E-1	9.0200E+2
-3.2601E-1	3.6304E-1	-3.2601E-1	1.0880E+3
-3.2589E-1	3.6353E-1	-3.2589E-1	1.0680E+3
-3.2576E-1	3.6157E-1	-3.2576E-1	8.7500E+2
-3.2564E-1	3.6060E-1	-3.2564E-1	-1.5000E+1
-3.2552E-1	3.6108E-1	-3.2552E-1	1.0770E+3
