Aux out [V]	Aux in [V]	Aux out [V]	PDH out [a.u.]
-5.1621E-1	7.4634E-1	-5.1621E-1	-1.1060E+3
-5.1608E-1	7.4854E-1	-5.1608E-1	-1.1000E+2
-5.1584E-1	7.4731E-1	-5.1584E-1	-3.9600E+2
-5.1572E-1	7.4780E-1	-5.1572E-1	-1.9000E+1
-5.1560E-1	7.4805E-1	-5.1560E-1	-1.2400E+2
-5.1535E-1	7.4609E-1	-5.1535E-1	8.5000E+2
-5.1523E-1	7.4463E-1	-5.1523E-1	6.2200E+2
-5.1511E-1	7.4487E-1	-5.1511E-1	1.1670E+3
-5.1499E-1	7.4194E-1	-5.1499E-1	9.7100E+2
-5.1474E-1	7.3877E-1	-5.1474E-1	1.2120E+3
-5.1462E-1	7.3901E-1	-5.1462E-1	1.4870E+3
-5.1450E-1	7.3877E-1	-5.1450E-1	7.2800E+2
-5.1437E-1	7.3535E-1	-5.1437E-1	1.3800E+3
-5.1413E-1	7.3438E-1	-5.1413E-1	6.9100E+2
-5.1401E-1	7.3364E-1	-5.1401E-1	1.3130E+3
-5.1389E-1	7.2998E-1	-5.1389E-1	8.8200E+2
-5.1364E-1	7.2974E-1	-5.1364E-1	3.2900E+2
-5.1352E-1	7.2900E-1	-5.1352E-1	6.6000E+2
-5.1340E-1	7.2559E-1	-5.1340E-1	1.0940E+3
-5.1328E-1	7.2461E-1	-5.1328E-1	4.0700E+2
-5.1303E-1	7.2437E-1	-5.1303E-1	6.1100E+2
-5.1291E-1	7.2168E-1	-5.1291E-1	4.4600E+2
-5.1279E-1	7.2217E-1	-5.1279E-1	-2.6200E+2
-5.1267E-1	7.2046E-1	-5.1267E-1	-1.5200E+2
-5.1242E-1	7.1729E-1	-5.1242E-1	5.1700E+2
-5.1230E-1	7.1997E-1	-5.1230E-1	-3.8300E+2
-5.1218E-1	7.1948E-1	-5.1218E-1	6.5900E+2
-5.1193E-1	7.1606E-1	-5.1193E-1	6.9500E+2
-5.1181E-1	7.1680E-1	-5.1181E-1	4.9100E+2
-5.1169E-1	7.1655E-1	-5.1169E-1	7.1900E+2
-5.1157E-1	7.1533E-1	-5.1157E-1	-8.6000E+1
-5.1132E-1	7.1533E-1	-5.1132E-1	2.2700E+2
-5.1120E-1	7.1265E-1	-5.1120E-1	2.0500E+2
-5.1108E-1	7.1143E-1	-5.1108E-1	4.7900E+2
-5.1096E-1	7.1143E-1	-5.1096E-1	-1.2000E+1
-5.1071E-1	7.1069E-1	-5.1071E-1	8.9300E+2
-5.1059E-1	7.1045E-1	-5.1059E-1	1.3900E+2
-5.1047E-1	7.0996E-1	-5.1047E-1	6.1000E+1
-5.1022E-1	7.0898E-1	-5.1022E-1	2.0900E+2
-5.1010E-1	7.0898E-1	-5.1010E-1	5.4400E+2
-5.0998E-1	7.0874E-1	-5.0998E-1	5.7100E+2
-5.0986E-1	7.0898E-1	-5.0986E-1	6.7000E+1
-5.0961E-1	7.0654E-1	-5.0961E-1	3.0900E+2
-5.0949E-1	7.0532E-1	-5.0949E-1	8.4600E+2
-5.0937E-1	7.0630E-1	-5.0937E-1	-1.6300E+2
-5.0925E-1	7.0557E-1	-5.0925E-1	5.2800E+2
-5.0900E-1	7.0410E-1	-5.0900E-1	7.8400E+2
-5.0888E-1	7.0313E-1	-5.0888E-1	4.4000E+2
-5.0876E-1	7.0190E-1	-5.0876E-1	4.6700E+2
-5.0851E-1	7.0117E-1	-5.0851E-1	3.0300E+2
-5.0839E-1	7.0239E-1	-5.0839E-1	-4.6000E+1
-5.0827E-1	7.0190E-1	-5.0827E-1	5.2400E+2
-5.0815E-1	6.9995E-1	-5.0815E-1	-2.9600E+2
-5.0790E-1	7.0093E-1	-5.0790E-1	-1.2500E+2
-5.0778E-1	6.9922E-1	-5.0778E-1	4.6400E+2
-5.0766E-1	7.0093E-1	-5.0766E-1	-1.1900E+2
-5.0754E-1	6.9824E-1	-5.0754E-1	3.7300E+2
-5.0729E-1	6.9873E-1	-5.0729E-1	-1.5700E+2
-5.0717E-1	6.9751E-1	-5.0717E-1	3.0000E+2
-5.0705E-1	6.9678E-1	-5.0705E-1	4.4900E+2
-5.0681E-1	6.9580E-1	-5.0681E-1	5.5700E+2
-5.0668E-1	6.9629E-1	-5.0668E-1	2.6300E+2
-5.0656E-1	6.9629E-1	-5.0656E-1	3.8000E+2
-5.0644E-1	6.9580E-1	-5.0644E-1	-1.1900E+2
-5.0620E-1	6.9385E-1	-5.0620E-1	4.3000E+1
-5.0607E-1	6.9263E-1	-5.0607E-1	8.7000E+1
-5.0595E-1	6.9556E-1	-5.0595E-1	4.5800E+2
-5.0583E-1	6.9531E-1	-5.0583E-1	9.7300E+2
-5.0559E-1	6.9336E-1	-5.0559E-1	3.2700E+2
-5.0546E-1	6.9116E-1	-5.0546E-1	4.2000E+2
-5.0534E-1	6.9019E-1	-5.0534E-1	4.7400E+2
-5.0510E-1	6.9165E-1	-5.0510E-1	-2.7400E+2
-5.0497E-1	6.8945E-1	-5.0497E-1	-2.2500E+2
-5.0485E-1	6.9067E-1	-5.0485E-1	3.9600E+2
-5.0473E-1	6.8970E-1	-5.0473E-1	1.2000E+1
-5.0449E-1	6.8872E-1	-5.0449E-1	4.1200E+2
-5.0436E-1	6.8872E-1	-5.0436E-1	1.7400E+2
-5.0424E-1	6.8970E-1	-5.0424E-1	7.0000E+1
-5.0400E-1	6.8872E-1	-5.0400E-1	3.8100E+2
-5.0388E-1	6.9019E-1	-5.0388E-1	4.0100E+2
-5.0375E-1	6.8677E-1	-5.0375E-1	3.2500E+2
-5.0363E-1	6.8823E-1	-5.0363E-1	5.7800E+2
-5.0339E-1	6.8945E-1	-5.0339E-1	-2.6500E+2
-5.0327E-1	6.8774E-1	-5.0327E-1	-1.6800E+2
-5.0314E-1	6.8799E-1	-5.0314E-1	-3.4700E+2
-5.0302E-1	6.8726E-1	-5.0302E-1	-5.8900E+2
-5.0278E-1	6.8799E-1	-5.0278E-1	-8.2700E+2
-5.0266E-1	6.8799E-1	-5.0266E-1	-3.1500E+2
-5.0253E-1	6.8896E-1	-5.0253E-1	-3.4800E+2
-5.0229E-1	6.8628E-1	-5.0229E-1	-6.6700E+2
-5.0217E-1	6.8848E-1	-5.0217E-1	-1.1710E+3
-5.0204E-1	6.8872E-1	-5.0204E-1	-2.7400E+2
-5.0192E-1	6.8848E-1	-5.0192E-1	-1.9400E+2
-5.0168E-1	6.8823E-1	-5.0168E-1	-4.8700E+2
-5.0156E-1	6.9043E-1	-5.0156E-1	-4.9800E+2
-5.0143E-1	6.9019E-1	-5.0143E-1	-8.7300E+2
-5.0131E-1	6.9263E-1	-5.0131E-1	-2.3200E+2
-5.0107E-1	6.9214E-1	-5.0107E-1	-3.4600E+2
-5.0095E-1	6.9189E-1	-5.0095E-1	-5.7000E+1
-5.0082E-1	6.9336E-1	-5.0082E-1	-4.7800E+2
-5.0058E-1	6.9165E-1	-5.0058E-1	-2.0600E+2
-5.0046E-1	6.9067E-1	-5.0046E-1	3.8700E+2
