Aux out [V]	Aux in [V]	PDH out [a.u.]
-5.4856E-1	8.0444E-1	1.9400E+2
-5.4660E-1	7.9663E-1	2.4900E+2
-5.4465E-1	7.9248E-1	8.9500E+2
-5.4270E-1	7.8613E-1	1.4300E+2
-5.4074E-1	7.8125E-1	1.1300E+2
-5.3855E-1	7.7881E-1	1.2500E+2
-5.3659E-1	7.6782E-1	3.2000E+1
-5.3464E-1	7.6270E-1	-7.0000E+1
-5.3269E-1	7.5391E-1	1.0100E+2
-5.3073E-1	7.4780E-1	5.4200E+2
-5.2854E-1	7.4292E-1	6.4500E+2
-5.2658E-1	7.4048E-1	-3.1200E+2
-5.2463E-1	7.4219E-1	7.8000E+2
-5.2268E-1	7.2192E-1	6.3500E+2
-5.2072E-1	7.1045E-1	1.8200E+2
-5.1877E-1	7.0166E-1	2.4500E+2
-5.1657E-1	6.9458E-1	5.2400E+2
-5.1462E-1	6.8848E-1	2.5600E+2
-5.1267E-1	6.8604E-1	1.2000E+1
-5.1071E-1	6.8994E-1	4.3100E+2
-5.0876E-1	6.7090E-1	7.1500E+2
-5.0656E-1	6.5918E-1	5.2600E+2
-5.0461E-1	6.5430E-1	1.8500E+2
-5.0266E-1	6.5869E-1	-5.6700E+2
-5.0070E-1	6.9897E-1	-7.6600E+2
-4.9875E-1	6.4795E-1	1.4110E+3
-4.9680E-1	6.2891E-1	3.6900E+2
-4.9460E-1	6.1816E-1	2.4700E+2
-4.9264E-1	6.1401E-1	-4.2800E+2
-4.9069E-1	6.1597E-1	-7.7300E+2
-4.8874E-1	6.3208E-1	-1.6250E+3
-4.8679E-1	7.1729E-1	-2.2640E+3
-4.8459E-1	6.4307E-1	3.1570E+3
-4.8263E-1	5.9546E-1	9.4500E+2
-4.8068E-1	5.8081E-1	7.5500E+2
-4.7873E-1	5.6787E-1	2.7400E+2
-4.7677E-1	5.6079E-1	2.5100E+2
-4.7458E-1	5.5737E-1	-5.1200E+2
-4.7262E-1	5.5103E-1	1.1600E+2
-4.7067E-1	5.4810E-1	-4.4700E+2
-4.6872E-1	5.4761E-1	-1.7200E+2
-4.6676E-1	5.4883E-1	-1.5000E+2
-4.6481E-1	5.5054E-1	-9.7500E+2
-4.6261E-1	5.8521E-1	-2.4600E+3
-4.6066E-1	5.6079E-1	9.4200E+2
-4.5871E-1	5.5176E-1	-2.8600E+2
-4.5675E-1	5.5298E-1	-2.4800E+2
-4.5480E-1	5.5518E-1	7.4000E+1
-4.5260E-1	5.5859E-1	-3.4700E+2
-4.5065E-1	5.6274E-1	-8.0700E+2
-4.4870E-1	5.6763E-1	-7.9900E+2
-4.4674E-1	5.7349E-1	-4.7200E+2
-4.4479E-1	5.7861E-1	-3.0700E+2
-4.4284E-1	5.8667E-1	-6.6700E+2
-4.4064E-1	5.9351E-1	-8.7600E+2
-4.3869E-1	6.0156E-1	-3.6000E+1
-4.3673E-1	6.0986E-1	-7.5300E+2
-4.3478E-1	6.1841E-1	-1.4000E+2
-4.3283E-1	6.2866E-1	-5.1800E+2
-4.3063E-1	6.3574E-1	-1.2120E+3
-4.2868E-1	6.4697E-1	-9.2800E+2
-4.2672E-1	6.5674E-1	-3.9100E+2
-4.2477E-1	6.6577E-1	-4.4200E+2
-4.2282E-1	6.7871E-1	-8.0600E+2
-4.2086E-1	6.8677E-1	-5.0900E+2
-4.1867E-1	6.9531E-1	-7.7800E+2
-4.1671E-1	7.0728E-1	-1.3860E+3
-4.1476E-1	7.1729E-1	-1.8110E+3
-4.1281E-1	7.2656E-1	-5.4400E+2
-4.1085E-1	7.3584E-1	-8.5700E+2
-4.0866E-1	7.4438E-1	-9.9100E+2
-4.0670E-1	7.5537E-1	-6.1800E+2
-4.0475E-1	7.6392E-1	-6.3600E+2
-4.0280E-1	7.7197E-1	-1.0220E+3
-4.0084E-1	7.8027E-1	-7.6500E+2
-3.9889E-1	7.8833E-1	-2.9800E+2
-3.9669E-1	7.9565E-1	-8.4900E+2
-3.9474E-1	8.0005E-1	-6.6600E+2
-3.9279E-1	8.0688E-1	-9.2700E+2
-3.9083E-1	8.1323E-1	-2.0100E+2
-3.8888E-1	8.1494E-1	-4.5400E+2
-3.8668E-1	8.2153E-1	-6.1800E+2
-3.8473E-1	8.2422E-1	-6.8700E+2
-3.8277E-1	8.2544E-1	-1.0700E+2
-3.8082E-1	8.3032E-1	-9.3700E+2
-3.7887E-1	8.3008E-1	-7.9300E+2
-3.7692E-1	8.2910E-1	-1.7200E+2
-3.7472E-1	8.3057E-1	2.0000E+1
-3.7276E-1	8.2910E-1	-6.1000E+1
-3.7081E-1	8.2642E-1	4.6900E+2
-3.6886E-1	8.2300E-1	-1.0400E+2
-3.6690E-1	8.1909E-1	1.1400E+2
-3.6471E-1	8.1543E-1	-3.7200E+2
-3.6275E-1	8.1006E-1	3.8700E+2
-3.6080E-1	8.0444E-1	6.9800E+2
-3.5885E-1	7.9712E-1	1.4000E+2
-3.5689E-1	7.9004E-1	5.0200E+2
-3.5494E-1	7.8247E-1	1.5800E+2
-3.5274E-1	7.7393E-1	5.2700E+2
-3.5079E-1	7.6172E-1	4.0200E+2
-3.4884E-1	7.5122E-1	1.1390E+3
-3.4688E-1	7.3999E-1	9.9200E+2
-3.4493E-1	7.2485E-1	3.4900E+2
-3.4273E-1	7.0996E-1	1.2610E+3
-3.4078E-1	6.9775E-1	9.0100E+2
-3.3883E-1	6.8311E-1	1.0790E+3
-3.3687E-1	6.6357E-1	9.8800E+2
-3.3492E-1	6.4868E-1	1.0120E+3
-3.3297E-1	6.3379E-1	1.1970E+3
-3.3077E-1	6.1597E-1	9.0700E+2
-3.2882E-1	5.9692E-1	8.0100E+2
-3.2686E-1	5.7935E-1	1.4090E+3
-3.2491E-1	5.6201E-1	5.9500E+2
-3.2296E-1	5.4395E-1	1.7930E+3
-3.2076E-1	5.2344E-1	1.0590E+3
-3.1881E-1	5.0439E-1	7.8800E+2
-3.1685E-1	4.8828E-1	1.2540E+3
-3.1490E-1	4.6924E-1	1.4710E+3
-3.1295E-1	4.5142E-1	1.3920E+3
-3.1099E-1	4.3555E-1	9.8400E+2
-3.0880E-1	4.1748E-1	1.1810E+3
-3.0684E-1	4.0186E-1	6.1700E+2
-3.0489E-1	3.8574E-1	1.1900E+3
-3.0294E-1	3.7354E-1	7.5100E+2
-3.0098E-1	3.6011E-1	9.4100E+2
-2.9879E-1	3.4790E-1	7.3200E+2
-2.9683E-1	3.3643E-1	9.6000E+2
-2.9488E-1	3.3350E-1	-2.4100E+2
-2.9293E-1	3.2153E-1	7.6700E+2
-2.9097E-1	3.1787E-1	3.8900E+2
-2.8902E-1	3.3350E-1	-1.8800E+2
-2.8682E-1	3.1079E-1	6.7500E+2
-2.8487E-1	3.0566E-1	-5.8600E+2
-2.8292E-1	3.1494E-1	5.5400E+2
-2.8096E-1	3.0884E-1	-2.7600E+2
-2.7901E-1	3.7427E-1	-5.1260E+3
-2.7681E-1	3.3862E-1	2.5740E+3
-2.7486E-1	3.2642E-1	-1.6110E+3
-2.7290E-1	4.4482E-1	-7.6700E+2
-2.7095E-1	3.1860E-1	2.7920E+3
-2.6900E-1	2.7173E-1	6.3100E+2
-2.6705E-1	2.5757E-1	4.4900E+2
-2.6485E-1	2.5635E-1	-2.9100E+2
-2.6289E-1	2.7563E-1	-3.4310E+3
-2.6094E-1	2.6831E-1	2.3800E+3
-2.5899E-1	2.4854E-1	-5.4000E+1
-2.5703E-1	2.4731E-1	2.9200E+2
-2.5484E-1	2.5269E-1	-5.9800E+2
-2.5288E-1	2.5586E-1	-6.3100E+2
-2.5093E-1	2.6099E-1	-3.3800E+2
-2.4898E-1	2.6660E-1	-2.8300E+2
-2.4702E-1	2.7612E-1	-1.2810E+3
-2.4507E-1	2.8467E-1	-1.1900E+3
-2.4287E-1	2.9419E-1	-1.1770E+3
-2.4092E-1	3.0591E-1	-6.5500E+2
-2.3897E-1	3.1616E-1	-1.0080E+3
-2.3701E-1	3.3008E-1	-8.8800E+2
-2.3506E-1	3.4351E-1	-1.0400E+3
