Aux out [V]	Aux in [V]	Aux out [V]	PDH out [a.u.]
1.3374E-1	4.8584E-1	1.3374E-1	1.6050E+3
1.3386E-1	4.8511E-1	1.3386E-1	8.7900E+2
1.3398E-1	4.8535E-1	1.3398E-1	1.0340E+3
1.3398E-1	4.8486E-1	1.3398E-1	1.3920E+3
1.3410E-1	4.8413E-1	1.3410E-1	1.2280E+3
1.3422E-1	4.8389E-1	1.3422E-1	1.3120E+3
1.3422E-1	4.8413E-1	1.3422E-1	1.4890E+3
1.3435E-1	4.8364E-1	1.3435E-1	9.4800E+2
1.3447E-1	4.8413E-1	1.3447E-1	1.7110E+3
1.3459E-1	4.8169E-1	1.3459E-1	1.2100E+3
1.3459E-1	4.8364E-1	1.3459E-1	6.7500E+2
1.3471E-1	4.8560E-1	1.3471E-1	1.4870E+3
1.3483E-1	4.8315E-1	1.3483E-1	9.9200E+2
1.3483E-1	4.8315E-1	1.3483E-1	1.8290E+3
1.3496E-1	4.8242E-1	1.3496E-1	1.5050E+3
1.3508E-1	4.8291E-1	1.3508E-1	1.4830E+3
1.3520E-1	4.8267E-1	1.3520E-1	1.5070E+3
1.3520E-1	4.8486E-1	1.3520E-1	1.2430E+3
1.3532E-1	4.8315E-1	1.3532E-1	8.4000E+2
1.3545E-1	4.8340E-1	1.3545E-1	1.5010E+3
1.3545E-1	4.8364E-1	1.3545E-1	1.5700E+3
1.3557E-1	4.8193E-1	1.3557E-1	1.3930E+3
1.3569E-1	4.8291E-1	1.3569E-1	9.9200E+2
1.3581E-1	4.8242E-1	1.3581E-1	1.1440E+3
1.3581E-1	4.8193E-1	1.3581E-1	1.3460E+3
1.3593E-1	4.8145E-1	1.3593E-1	9.4100E+2
1.3606E-1	4.8169E-1	1.3606E-1	1.1880E+3
1.3606E-1	4.8145E-1	1.3606E-1	1.0770E+3
1.3618E-1	4.8291E-1	1.3618E-1	1.0170E+3
1.3630E-1	4.8096E-1	1.3630E-1	1.5910E+3
1.3630E-1	4.8096E-1	1.3630E-1	1.2240E+3
1.3642E-1	4.8120E-1	1.3642E-1	1.1380E+3
1.3654E-1	4.8218E-1	1.3654E-1	1.0700E+3
1.3667E-1	4.8096E-1	1.3667E-1	1.4920E+3
1.3667E-1	4.8193E-1	1.3667E-1	1.1840E+3
1.3679E-1	4.8120E-1	1.3679E-1	9.0800E+2
1.3691E-1	4.8071E-1	1.3691E-1	1.5200E+3
1.3691E-1	4.8096E-1	1.3691E-1	1.7690E+3
1.3703E-1	4.8145E-1	1.3703E-1	8.6200E+2
1.3715E-1	4.7900E-1	1.3715E-1	1.4770E+3
1.3728E-1	4.8218E-1	1.3728E-1	1.1370E+3
1.3728E-1	4.8022E-1	1.3728E-1	1.4740E+3
1.3740E-1	4.7876E-1	1.3740E-1	1.5090E+3
1.3752E-1	4.8022E-1	1.3752E-1	9.5900E+2
1.3752E-1	4.7852E-1	1.3752E-1	1.5890E+3
1.3764E-1	4.7998E-1	1.3764E-1	1.0060E+3
1.3776E-1	4.8022E-1	1.3776E-1	1.1770E+3
1.3776E-1	4.8022E-1	1.3776E-1	9.5900E+2
1.3789E-1	4.7900E-1	1.3789E-1	1.5940E+3
1.3801E-1	4.8022E-1	1.3801E-1	9.6100E+2
1.3813E-1	4.8047E-1	1.3813E-1	1.3750E+3
1.3813E-1	4.7900E-1	1.3813E-1	1.4920E+3
1.3825E-1	4.8047E-1	1.3825E-1	8.2300E+2
1.3838E-1	4.7925E-1	1.3838E-1	1.1220E+3
1.3838E-1	4.7949E-1	1.3838E-1	9.5300E+2
1.3850E-1	4.8145E-1	1.3850E-1	6.8400E+2
1.3862E-1	4.7900E-1	1.3862E-1	1.4180E+3
1.3862E-1	4.8096E-1	1.3862E-1	8.5100E+2
1.3874E-1	4.8096E-1	1.3874E-1	1.2800E+3
1.3886E-1	4.7974E-1	1.3886E-1	1.2760E+3
1.3899E-1	4.7998E-1	1.3899E-1	6.3400E+2
1.3899E-1	4.7974E-1	1.3899E-1	1.6090E+3
1.3911E-1	4.7827E-1	1.3911E-1	1.2190E+3
1.3923E-1	4.7925E-1	1.3923E-1	9.6300E+2
1.3923E-1	4.7925E-1	1.3923E-1	1.0400E+3
1.3935E-1	4.8193E-1	1.3935E-1	9.6500E+2
1.3947E-1	4.7949E-1	1.3947E-1	7.9000E+2
1.3960E-1	4.7974E-1	1.3960E-1	1.1720E+3
1.3960E-1	4.7925E-1	1.3960E-1	1.1370E+3
1.3972E-1	4.8022E-1	1.3972E-1	8.9100E+2
1.3984E-1	4.7925E-1	1.3984E-1	9.4600E+2
1.3984E-1	4.7876E-1	1.3984E-1	1.2900E+3
1.3996E-1	4.7949E-1	1.3996E-1	1.3410E+3
1.4008E-1	4.8096E-1	1.4008E-1	1.0240E+3
1.4008E-1	4.7827E-1	1.4008E-1	9.6400E+2
1.4021E-1	4.7998E-1	1.4021E-1	8.4200E+2
1.4033E-1	4.7974E-1	1.4033E-1	9.3100E+2
1.4045E-1	4.7900E-1	1.4045E-1	2.8100E+2
1.4045E-1	4.8047E-1	1.4045E-1	1.3660E+3
1.4057E-1	4.7998E-1	1.4057E-1	1.3190E+3
1.4069E-1	4.8022E-1	1.4069E-1	1.0970E+3
1.4069E-1	4.8022E-1	1.4069E-1	1.0570E+3
1.4082E-1	4.7974E-1	1.4082E-1	8.5700E+2
1.4094E-1	4.8096E-1	1.4094E-1	7.2400E+2
1.4106E-1	4.8169E-1	1.4106E-1	9.6800E+2
1.4106E-1	4.8169E-1	1.4106E-1	9.3900E+2
1.4118E-1	4.7998E-1	1.4118E-1	7.1100E+2
1.4131E-1	4.8022E-1	1.4131E-1	1.2650E+3
1.4131E-1	4.8071E-1	1.4131E-1	1.1280E+3
1.4143E-1	4.7998E-1	1.4143E-1	9.9200E+2
1.4155E-1	4.7900E-1	1.4155E-1	1.0280E+3
1.4167E-1	4.8193E-1	1.4167E-1	1.2030E+3
1.4167E-1	4.8120E-1	1.4167E-1	7.6900E+2
1.4179E-1	4.8315E-1	1.4179E-1	8.3900E+2
1.4192E-1	4.8096E-1	1.4192E-1	1.2770E+3
1.4192E-1	4.8193E-1	1.4192E-1	1.3410E+3
1.4204E-1	4.8193E-1	1.4204E-1	9.2400E+2
1.4216E-1	4.8120E-1	1.4216E-1	3.2600E+2
1.4216E-1	4.8120E-1	1.4216E-1	3.7200E+2
1.4228E-1	4.8169E-1	1.4228E-1	9.1300E+2
1.4240E-1	4.8218E-1	1.4240E-1	1.2880E+3
1.4253E-1	4.8340E-1	1.4253E-1	6.5100E+2
1.4253E-1	4.8291E-1	1.4253E-1	4.9800E+2
1.4265E-1	4.8193E-1	1.4265E-1	7.8800E+2
1.4277E-1	4.8145E-1	1.4277E-1	8.6100E+2
1.4277E-1	4.8291E-1	1.4277E-1	6.0400E+2
1.4289E-1	4.8340E-1	1.4289E-1	7.1100E+2
1.4301E-1	4.8315E-1	1.4301E-1	3.8900E+2
1.4314E-1	4.8364E-1	1.4314E-1	9.2600E+2
1.4314E-1	4.8462E-1	1.4314E-1	7.8200E+2
1.4326E-1	4.8291E-1	1.4326E-1	7.9100E+2
1.4338E-1	4.8389E-1	1.4338E-1	1.1040E+3
1.4338E-1	4.8267E-1	1.4338E-1	6.2100E+2
1.4350E-1	4.8560E-1	1.4350E-1	4.5400E+2
1.4362E-1	4.8389E-1	1.4362E-1	8.0900E+2
1.4362E-1	4.8389E-1	1.4362E-1	8.5700E+2
1.4375E-1	4.8389E-1	1.4375E-1	3.9200E+2
1.4387E-1	4.8535E-1	1.4387E-1	8.7800E+2
1.4399E-1	4.8486E-1	1.4399E-1	2.7200E+2
1.4399E-1	4.8608E-1	1.4399E-1	1.9800E+2
1.4411E-1	4.8584E-1	1.4411E-1	8.0000E+2
1.4423E-1	4.8438E-1	1.4423E-1	6.9600E+2
1.4423E-1	4.8535E-1	1.4423E-1	3.1000E+2
1.4436E-1	4.8486E-1	1.4436E-1	6.5000E+1
1.4448E-1	4.8438E-1	1.4448E-1	2.8200E+2
1.4448E-1	4.8584E-1	1.4448E-1	5.0400E+2
1.4460E-1	4.8486E-1	1.4460E-1	6.4700E+2
1.4472E-1	4.8315E-1	1.4472E-1	7.9100E+2
1.4485E-1	4.8291E-1	1.4485E-1	2.8800E+2
1.4485E-1	4.8486E-1	1.4485E-1	7.1100E+2
1.4497E-1	4.8291E-1	1.4497E-1	1.5200E+2
1.4509E-1	4.8291E-1	1.4509E-1	1.0280E+3
1.4509E-1	4.8267E-1	1.4509E-1	2.0100E+2
1.4521E-1	4.8193E-1	1.4521E-1	2.7600E+2
1.4533E-1	4.8267E-1	1.4533E-1	-4.1000E+1
