Aux out [V]	Aux in [V]	Aux out [V]	PDH out [a.u.]
1.3435E-1	4.6533E-1	1.3435E-1	1.2400E+3
1.3447E-1	4.6338E-1	1.3447E-1	9.5900E+2
1.3459E-1	4.6240E-1	1.3459E-1	1.0880E+3
1.3459E-1	4.6338E-1	1.3459E-1	1.3230E+3
1.3471E-1	4.6240E-1	1.3471E-1	9.4600E+2
1.3483E-1	4.6362E-1	1.3483E-1	1.7510E+3
1.3483E-1	4.6216E-1	1.3483E-1	2.0170E+3
1.3496E-1	4.5972E-1	1.3496E-1	1.4590E+3
1.3508E-1	4.6191E-1	1.3508E-1	3.4500E+2
1.3520E-1	4.6118E-1	1.3520E-1	1.0010E+3
1.3520E-1	4.5972E-1	1.3520E-1	1.0880E+3
1.3532E-1	4.6118E-1	1.3532E-1	9.7700E+2
1.3545E-1	4.6045E-1	1.3545E-1	2.0040E+3
1.3545E-1	4.6069E-1	1.3545E-1	1.4180E+3
1.3557E-1	4.6118E-1	1.3557E-1	1.0900E+3
1.3569E-1	4.6143E-1	1.3569E-1	1.0550E+3
1.3581E-1	4.5972E-1	1.3581E-1	1.2680E+3
1.3581E-1	4.6021E-1	1.3581E-1	1.4010E+3
1.3593E-1	4.5947E-1	1.3593E-1	9.4900E+2
1.3606E-1	4.5923E-1	1.3606E-1	1.0370E+3
1.3606E-1	4.6069E-1	1.3606E-1	1.1970E+3
1.3618E-1	4.5850E-1	1.3618E-1	1.6850E+3
1.3630E-1	4.5679E-1	1.3630E-1	1.6710E+3
1.3630E-1	4.5776E-1	1.3630E-1	1.0590E+3
1.3642E-1	4.5898E-1	1.3642E-1	1.4150E+3
1.3654E-1	4.5850E-1	1.3654E-1	1.3740E+3
1.3667E-1	4.5972E-1	1.3667E-1	1.0870E+3
1.3667E-1	4.5776E-1	1.3667E-1	7.1100E+2
1.3679E-1	4.5654E-1	1.3679E-1	9.3400E+2
1.3691E-1	4.5703E-1	1.3691E-1	1.6250E+3
1.3691E-1	4.5728E-1	1.3691E-1	9.7200E+2
1.3703E-1	4.5703E-1	1.3703E-1	1.4600E+3
1.3715E-1	4.5728E-1	1.3715E-1	1.6760E+3
1.3728E-1	4.5605E-1	1.3728E-1	1.4180E+3
1.3728E-1	4.5483E-1	1.3728E-1	1.6830E+3
1.3740E-1	4.5581E-1	1.3740E-1	1.0480E+3
1.3752E-1	4.5557E-1	1.3752E-1	1.3980E+3
1.3752E-1	4.5459E-1	1.3752E-1	1.0550E+3
1.3764E-1	4.5435E-1	1.3764E-1	2.0640E+3
1.3776E-1	4.5361E-1	1.3776E-1	1.4840E+3
1.3776E-1	4.5337E-1	1.3776E-1	1.8720E+3
1.3789E-1	4.5483E-1	1.3789E-1	1.3830E+3
1.3801E-1	4.5581E-1	1.3801E-1	1.4800E+3
1.3813E-1	4.5459E-1	1.3813E-1	1.3980E+3
1.3813E-1	4.5361E-1	1.3813E-1	1.3770E+3
1.3825E-1	4.5313E-1	1.3825E-1	1.1390E+3
1.3838E-1	4.5483E-1	1.3838E-1	9.4400E+2
1.3838E-1	4.5386E-1	1.3838E-1	1.1770E+3
1.3850E-1	4.5410E-1	1.3850E-1	1.8240E+3
1.3862E-1	4.5288E-1	1.3862E-1	1.0410E+3
1.3862E-1	4.5386E-1	1.3862E-1	1.1370E+3
